id,timestamp,face_id,emotion,confidence,session_id
1,2026-04-02T18:03:29.775447,1,happy,89.8,20260402_18
2,2026-04-02T18:03:29.791054,2,surprise,91.0,20260402_18
3,2026-04-02T18:11:01.297604,1,neutral,88.1,20260402_18
4,2026-04-02T18:11:01.627155,1,neutral,88.1,20260402_18
5,2026-04-02T18:11:02.203393,1,neutral,88.1,20260402_18
6,2026-04-02T18:11:02.501597,1,sad,89.7,20260402_18
7,2026-04-02T18:11:02.523702,2,neutral,80.3,20260402_18
8,2026-04-02T18:11:02.766139,1,sad,89.7,20260402_18
9,2026-04-02T18:11:02.834551,2,neutral,80.3,20260402_18
10,2026-04-02T18:11:03.235441,1,sad,89.7,20260402_18
11,2026-04-02T18:11:03.295083,2,neutral,80.3,20260402_18
12,2026-04-02T18:11:03.567782,1,sad,89.7,20260402_18
13,2026-04-02T18:11:04.131714,1,sad,89.7,20260402_18
14,2026-04-02T18:11:04.394437,1,sad,89.7,20260402_18
15,2026-04-02T18:11:05.061817,1,happy,69.7,20260402_18
16,2026-04-02T18:11:05.144044,2,sad,89.7,20260402_18
17,2026-04-02T18:11:05.393158,1,happy,69.7,20260402_18
18,2026-04-02T18:11:05.430932,2,sad,89.7,20260402_18
19,2026-04-02T18:11:05.980181,1,happy,69.7,20260402_18
20,2026-04-02T18:11:06.065612,2,sad,89.7,20260402_18
21,2026-04-02T18:11:06.364806,1,sad,89.7,20260402_18
22,2026-04-02T18:11:06.974803,1,sad,89.7,20260402_18
23,2026-04-02T18:11:07.228243,1,sad,89.7,20260402_18
24,2026-04-02T18:11:07.886574,1,neutral,88.1,20260402_18
25,2026-04-02T18:11:08.241480,1,neutral,88.1,20260402_18
26,2026-04-02T18:11:08.558531,1,neutral,88.1,20260402_18
27,2026-04-02T18:11:09.178631,1,happy,69.7,20260402_18
28,2026-04-02T18:11:09.198639,2,neutral,88.1,20260402_18
29,2026-04-02T18:11:09.460472,1,happy,69.7,20260402_18
30,2026-04-02T18:11:09.488377,2,neutral,88.1,20260402_18
31,2026-04-02T18:11:10.058548,1,happy,69.7,20260402_18
32,2026-04-02T18:11:10.078415,2,neutral,88.1,20260402_18
33,2026-04-02T18:11:10.386703,1,sad,89.7,20260402_18
34,2026-04-02T18:11:10.951239,1,sad,89.7,20260402_18
